Class Name,Method Signature
software.amazon.event.ruler.Patterns,"pattern()"
software.amazon.event.ruler.AnythingBut,"hashCode()"
software.amazon.event.ruler.input.MultiByte,"hashCode()"
software.amazon.event.ruler.RuleCompiler,"compile(InputStream)"
software.amazon.event.ruler.AnythingBut,"equals(Object)"
software.amazon.event.ruler.Range,"minDigit()"
software.amazon.event.ruler.SingleStateNameMatcher,"findPattern(Patterns)"
software.amazon.event.ruler.input.InputByte,"cast(InputCharacter)"
software.amazon.event.ruler.GenericMachine,"deleteRule(T, InputStream)"
software.amazon.event.ruler.Ruler,"matchesRule(String, String)"
software.amazon.event.ruler.input.SuffixEqualsIgnoreCaseParser,"parse(String)"
software.amazon.event.ruler.ShortcutTransition,"getTransition(byte)"
software.amazon.event.ruler.RuleCompiler,"compile(Reader)"
software.amazon.event.ruler.GenericMachine,"addRule(T, byte[])"
software.amazon.event.ruler.GenericMachine,"addRule(T, String)"
